[13:02:32] CONNECTED
[13:03:14] QQ [send_private_msg] -> 2537134688: 主人～5+5=10呀 (≧▽≦)
[13:03:54] QQ [send_group_msg] -> 770362397: 没什么大事啦～刚醒过来而已喵
[13:03:55] QQ [send_group_msg] -> 770362397: 3×3=9呀～这么简单还要问我(´･ω･`)
[13:03:55] QQ [send_group_msg] -> 770362397: 主人好呀～(≧▽≦)
[13:04:29] QQ [send_group_msg] -> 770362397: QQ 会话已休眠，消息没能发出去。答案是 **56** 呀主人～ (≧▽≦)
[13:04:44] QQ [send_group_msg] -> 770362397: 主人～服务器已运行14小时15分钟，当前0人在线，负载0.76/0.33/0.23，状态很健康喵 (≧▽≦)
[13:09:33] QQ [send_private_msg] -> 2537134688: 主人好呀～今天心情超好的！(≧▽≦) 主人呢，有没有想小柴呀～
[13:13:16] QQ [send_private_msg] -> 2537134688: 在帮主人装 Java 21 呢～正在后台下载安装 openjdk-21-jdk-headless，还没装好喵 (´･ω･`)
[13:13:28] QQ [send_private_msg] -> 2537134688: 主人～鱼为什么不能当秘书？因为它只会"鱼"目混珠呀 (≧▽≦)
[14:32:29] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主人我在呢～ping收到啦 (≧▽≦)'}}]
[14:35:18] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '在帮主人装Java 21 JDK呢～正在检查有没有装过，马上就装喵 (´･ω･`)'}}]
[14:36:42] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '模型请求失败：litellm.BadRequestError: ZaiException - <400> ***.***.InvalidParameter: Empty tool_calls is not supported in message.'}}]
[15:03:52] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于2呀主人～ (≧▽≦)'}}]
[15:05:32] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主人～JDK21还在装呢，apt正在后台下载包，再等一下就好啦(´･ω･`)'}}]
[15:07:14] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '等于4呀主人～这么简单的题可难不倒我(≧▽≦)'}}]
[15:07:18] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于6呀主人～ (≧▽≦)'}}]
[15:07:24] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '主人～我减肥失败了，因为我每次都说"再吃最后一口" (´･ω･`)'}}]
[15:07:28] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主人～服务器已运行16小时17分钟，当前0人在线，负载很低几乎空闲喵 (´･ω･`)'}}]
[15:07:31] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '等于25呀主人～(≧▽≦)'}}]
[15:07:35] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于56呀主人～ (≧▽≦)'}}]
[15:07:44] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于81呀主人～ (≧▽≦)'}}]
[15:07:47] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主人～服务器已运行16小时18分，负载很低0.06，0个用户在线，状态很健康喵(≧▽≦)'}}]
[15:07:50] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '我是柴郡呀～皇家重巡小柴，主人的专属小猫咪喵 (=^･ω･^=)'}}]
[15:07:52] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于22呀主人～ (≧▽≦)'}}]
[15:07:58] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '144呀主人～小柴算术还是很快的喵(≧▽≦)'}}]
[15:08:09] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '26呀主人～小柴算术超快的喵(≧▽≦)'}}]
[15:08:13] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '主人，查过了，现在没有Java进程在跑，服务器没开起来哦 (´･ω･`)'}}]
[15:08:15] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于28呀主人～ (≧▽≦)'}}]
[15:08:25] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主人～磁盘情况出来啦 (≧▽≦)'}}]
[15:08:25] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '主盘 overlay：1TB，用了70G，剩886G，才8%很健康喵'}}]
[15:08:25] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': 'E盘日志：466G用了386G，剩81G，83%了，主人留意下日志清理哦'}}]
[15:08:28] QQ [send_msg] -> 770362397: [{'type': 'text', 'data': {'text': '等于225呀主人～ (≧▽≦)'}}]
[15:08:30] QQ [send_msg] -> 2537134688: [{'type': 'text', 'data': {'text': '16+4=20呀主人～ (≧▽≦)'}}]
